SRLNUM,MRHST_NM,MRHST_LA,MRHST_LO,MRHST_CTPRVN_CD,MRHST_CTPRVN_NM,MRHST_SIGNGU_CD,MRHST_SIGNGU_NM,MRHST_ADSTRD_CD,MRHST_ADSTRD_NM,MRHST_FLAG_CD,MRHST_FLAG_CD_NM
3042,원조밀면,35.1007319,129.0275424,21,부산광역시,21010,중구,2101056,부평동,B,급식카드가맹점
3043,원조팔팔족발,35.1515124,129.0121394,21,부산광역시,21150,사상구,2115060,주례1동,B,급식카드가맹점
3044,원조할매국밥,35.1819253,129.2044026,21,부산광역시,21090,해운대구,2109056,송정동,B,급식카드가맹점
3045,원초김밥,35.1543329,129.0657796,21,부산광역시,21050,부산진구,2105083,전포1동,B,급식카드가맹점
3046,원초김밥,35.2662716,129.0923149,21,부산광역시,21110,금정구,2111068,남산동,B,급식카드가맹점
3047,원초김밥,35.0779393,128.9775655,21,부산광역시,21100,사하구,2110061,장림2동,B,급식카드가맹점
3048,원투쓰리,35.1317306,129.1004095,21,부산광역시,21070,남구,2107070,대연1동,B,급식카드가맹점
3049,원투쓰리,35.1333704,129.1007998,21,부산광역시,21070,남구,2107070,대연1동,B,급식카드가맹점
3050,월남선생,35.2044367,129.1163612,21,부산광역시,21090,해운대구,2109070,반여1동,B,급식카드가맹점
3051,월내반점,35.3279858,129.2763147,21,부산광역시,21310,기장군,2131012,장안읍,B,급식카드가맹점
3052,월면가(금정점),35.2280695,129.0869691,21,부산광역시,21110,금정구,2111061,장전1동,B,급식카드가맹점
3053,월성반점,35.1959885,129.0112645,21,부산광역시,21080,북구,2108053,구포3동,B,급식카드가맹점
3054,월성반점,35.1958017,129.0110796,21,부산광역시,21080,북구,2108051,구포1동,B,급식카드가맹점
3055,웰빙여행,35.1817898,129.0751687,21,부산광역시,21130,연제구,2113055,연산1동,B,급식카드가맹점
3056,유가네,35.1998709,129.0837710,21,부산광역시,21060,동래구,2106051,수민동,B,급식카드가맹점
3057,유가네,35.1829805,129.0764157,21,부산광역시,21130,연제구,2113055,연산1동,B,급식카드가맹점
3058,유가네 닭갈비 기장점,35.2473552,129.2166243,21,부산광역시,21310,기장군,2131011,기장읍,B,급식카드가맹점
3059,유가네 닭갈비 대신점,35.1027442,129.0197273,21,부산광역시,21020,서구,2102059,부민동,B,급식카드가맹점
3060,유가네 닭갈비 덕천점,35.2099341,129.0075797,21,부산광역시,21080,북구,2108056,덕천1동,B,급식카드가맹점
3061,유가네 닭갈비 부산외대점,35.2651305,129.0888133,21,부산광역시,21110,금정구,2111068,남산동,B,급식카드가맹점
3062,유가네 서면롯데점,35.1551681,129.0580324,21,부산광역시,21050,부산진구,2105052,부전2동,B,급식카드가맹점
3063,유가네 서면본점,35.1547148,129.0612450,21,부산광역시,21050,부산진구,2105052,부전2동,B,급식카드가맹점
3064,유가네 양정점,35.1694698,129.0695972,21,부산광역시,21050,부산진구,2105056,양정1동,B,급식카드가맹점
3065,유가네닭갈비,35.1753405,129.0915938,21,부산광역시,21130,연제구,2113055,연산1동,B,급식카드가맹점
3066,유가네닭갈비 모라점,35.1914380,128.9918873,21,부산광역시,21150,사상구,2115052,모라1동,B,급식카드가맹점
3067,유가네닭갈비 문현점,35.1379527,129.0712679,21,부산광역시,21070,남구,2107066,문현1동,B,급식카드가맹점
3068,유가네닭갈비 율리점,35.2475916,129.0121179,21,부산광역시,21080,북구,2108054,금곡동,B,급식카드가맹점
3069,유가네닭갈비(율리점),35.2475916,129.0121179,21,부산광역시,21080,북구,2108054,금곡동,B,급식카드가맹점
3070,유가네닭갈비개금점,35.1516360,129.0264162,21,부산광역시,21050,부산진구,2105081,가야제1동,B,급식카드가맹점
3071,유가네닭갈비동삼점,35.0813817,129.0704996,21,부산광역시,21040,영도구,2104065,동삼1동,B,급식카드가맹점
3072,유가네닭갈비명지오션시티,35.0835222,128.9039059,21,부산광역시,21120,강서구,2112059,명지1동,B,급식카드가맹점
3073,유가네닭갈비모라점,35.1914380,128.9918873,21,부산광역시,21150,사상구,2115052,모라1동,B,급식카드가맹점
3074,유가네닭갈비온천천점,35.1914010,129.1038443,21,부산광역시,21060,동래구,2106061,안락1동,B,급식카드가맹점
3075,유가네닭갈비화명점,35.2360673,129.0099754,21,부산광역시,21080,북구,2108055,화명1동,B,급식카드가맹점
3076,유니김밥,35.3276330,129.1883919,21,부산광역시,21310,기장군,2131013,정관읍,B,급식카드가맹점
3077,유니짜장,35.0874383,129.0435565,21,부산광역시,21040,영도구,2104054,영선1동,B,급식카드가맹점
3078,유성관,35.0825535,129.0221811,21,부산광역시,21020,서구,2102065,남부민1동,B,급식카드가맹점
3079,유황돈돼지생오리,35.1455240,129.1114422,21,부산광역시,21140,수영구,2114051,남천1동,B,급식카드가맹점
3080,육회한 하루,35.1456254,129.0739737,21,부산광역시,21070,남구,2107066,문현1동,B,급식카드가맹점
3081,윤가네멸치국수,35.1656747,129.0369149,21,부산광역시,21050,부산진구,2105080,당감제1동,B,급식카드가맹점
3082,윤박사밀면,35.1891359,129.1267967,21,부산광역시,21090,해운대구,2109064,재송1동,B,급식카드가맹점
3083,윤연재,35.1931030,129.0647635,21,부산광역시,21130,연제구,2113051,거제1동,B,급식카드가맹점
3084,윤이네작은빵집,35.1734750,129.0655545,21,부산광역시,21050,부산진구,2105056,양정1동,B,급식카드가맹점
3085,윤하김밥,35.0993513,129.0195323,21,부산광역시,21020,서구,2102061,아미동,B,급식카드가맹점
3086,은화수식당 범일점,35.1446218,129.0601376,21,부산광역시,21050,부산진구,2105077,범천1동,B,급식카드가맹점
3087,이가감자탕,35.1015322,128.9768183,21,부산광역시,21100,사하구,2110055,당리동,B,급식카드가맹점
3088,이가네밥상,35.1116182,129.0156928,21,부산광역시,21020,서구,2102054,서대신1동,B,급식카드가맹점
3089,이가우동신짬뽕,35.1643764,128.9838422,21,부산광역시,21150,사상구,2115057,괘법동,B,급식카드가맹점
3090,이가원,35.1981135,129.0608091,21,부산광역시,21060,동래구,2106058,사직1동,B,급식카드가맹점
3091,이동채베이커리,35.2045797,129.1057603,21,부산광역시,21060,동래구,2106063,명장1동,B,급식카드가맹점
3092,이마트24 가야e편한점,35.1552682,129.0332175,21,부산광역시,21050,부산진구,2105081,가야제1동,B,급식카드가맹점
3093,이마트24 가야본점,35.1520093,129.0330826,21,부산광역시,21050,부산진구,2105081,가야제1동,B,급식카드가맹점
3094,이마트24 가야초원점,35.1511150,129.0367664,21,부산광역시,21050,부산진구,2105081,가야제1동,B,급식카드가맹점
3095,이마트24 감만판테라점,35.1117263,129.0801870,21,부산광역시,21070,남구,2107062,감만1동,B,급식카드가맹점
3096,이마트24 감천문화마을점,35.0912009,129.0070714,21,부산광역시,21100,사하구,2110065,감천1동,B,급식카드가맹점
3097,이마트24 강서미음점,35.1369689,128.8587944,21,부산광역시,21120,강서구,2112056,녹산동,B,급식카드가맹점
3098,이마트24 개금대명점,35.1446372,129.0163716,21,부산광역시,21050,부산진구,2105074,개금1동,B,급식카드가맹점
3099,이마트24 개금센츄어리점,35.1511401,129.0254657,21,부산광역시,21050,부산진구,2105081,가야제1동,B,급식카드가맹점
3100,이마트24 경성대점,35.1382993,129.1036022,21,부산광역시,21070,남구,2107070,대연1동,B,급식카드가맹점
3101,이마트24 경성대후문점,35.1380070,129.0976250,21,부산광역시,21070,남구,2107070,대연1동,B,급식카드가맹점
3102,이마트24 고려병원점,35.1348734,129.0926390,21,부산광역시,21070,남구,2107070,대연1동,B,급식카드가맹점
3103,이마트24 광안원룸점,35.1597610,129.1141925,21,부산광역시,21140,수영구,2114056,광안1동,B,급식카드가맹점
3104,이마트24 광안해변점,35.1544023,129.1182898,21,부산광역시,21140,수영구,2114056,광안1동,B,급식카드가맹점
